item,obj_d1,subj_d1,obj_d2,subj_d2,obj_d3,subj_d3,obj_drift,subj_drift,flag
1,7.543,11.376,5.701,11.743,6.44,11.939,-1.103,0.563,False
2,2.699,6.235,2.988,5.991,3.653,6.313,0.954,0.078,False
3,8.121,8.457,7.153,6.776,7.37,6.937,-0.751,-1.52,False
4,7.744,5.598,8.08,6.858,7.239,6.08,-0.505,0.482,False
5,6.168,7.972,12.849,8.018,5.554,7.849,-0.614,-0.123,False
6,9.591,9.994,9.273,10.132,2.895,10.781,-6.696,0.788,True
7,5.895,6.226,6.924,6.565,2.051,5.324,-3.844,-0.902,True
8,6.953,7.192,8.07,6.514,4.844,6.832,-2.109,-0.36,True
9,1.748,8.175,1.75,8.092,1.189,8.899,-0.559,0.725,False
10,6.444,4.238,7.593,4.859,3.066,5.629,-3.378,1.39,True
11,4.363,9.535,4.612,9.609,1.974,8.649,-2.389,-0.886,True
12,6.381,7.744,2.739,6.342,1.589,6.907,-4.792,-0.838,True
13,9.177,5.741,8.791,6.473,6.232,6.516,-2.945,0.775,True
14,1.266,8.11,0.876,7.514,0.513,6.689,-0.752,-1.421,False
15,5.736,7.443,3.101,7.893,2.07,6.153,-3.665,-1.289,True
16,9.649,6.798,11.515,6.867,9.421,7.186,-0.228,0.388,False
17,8.578,7.743,5.172,7.147,5.634,7.48,-2.944,-0.263,True
18,6.832,8.892,6.204,8.308,5.491,8.121,-1.341,-0.771,False
19,7.257,6.237,6.073,7.578,2.066,7.096,-5.191,0.859,True
20,3.906,2.791,3.739,3.211,3.034,2.776,-0.872,-0.015,False
21,5.415,11.244,5.754,11.27,5.18,10.815,-0.235,-0.429,False
22,4.277,6.261,2.558,5.898,2.636,5.39,-1.641,-0.871,False
23,3.154,10.338,2.94,11.272,2.281,9.822,-0.873,-0.517,False
24,3.055,6.442,2.095,5.506,1.018,5.844,-2.038,-0.598,True
